Hvor mange spillere er det i et baseballag?; 9; 7; 11
Hvilken sport er Simone Biles mest kjent for?; Turn; Gymnastikk; Dans
Hva er høyden på en badmintonnett?; 1,55 meter; 1,40 meter; 1,70 meter
Hvilken sport er Eliud Kipchoge mest kjent for?; Friidrett; Svømming; Sykling
Hvor mange spillere er det i et amerikansk fotballag?; 11; 9; 7
Hvilken sport er Katie Ledecky mest kjent for?; Svømming; Friidrett; Sykling
Hva er lengden på en standard cricketbane?; 20,12 meter; 15,24 meter; 22,86 meter
Hvilken sport er Floyd Mayweather Jr. mest kjent for?; Boksing; Kampsport; Bryting
Hvor mange spillere er det i et cricketlag?; 11; 9; 7
Hvilken sport er Lindsey Vonn mest kjent for?; Alpint; Langrenn; Skiskyting
Hva er høyden på en tennisnett?; 1,07 meter; 0,91 meter; 1,22 meter
Hvilken sport er Conor McGregor mest kjent for?; MMA; Boksing; Bryting
Hvor mange spillere er det i et curlinglag?; 4; 5; 6
Hvilken sport er Yuzuru Hanyu mest kjent for?; Kunstløp; Skøyter; Skihopping
Hva er lengden på en standard curlingbane?; 42,07 meter; 38,10 meter; 45,72 meter
Hvilken sport er Ada Hegerberg mest kjent for?; Fotball; Håndball; Basketball
Hvor mange spillere er det i et bandylag?; 10; 8; 12
Hvilken sport er Martin Fourcade mest kjent for?; Skiskyting; Langrenn; Alpint
Hva er høyden på en bordtennisnett?; 0,76 meter; 0,91 meter; 1,07 meter
Hvilken sport er Mikaela Shiffrin mest kjent for?; Alpint; Langrenn; Skiskyting
Hvor mange spillere er det i et lacrosselag?; 10; 9; 8
Hvilken sport er Jessica Ennis-Hill mest kjent for?; Friidrett; Svømming; Sykling
Hva er lengden på en standard lacrossebane?; 100 meter; 110 meter; 90 meter
Hvilken sport er Allyson Felix mest kjent for?; Friidrett; Svømming; Sykling
Hvor mange spillere er det i et vannpololag?; 7; 6; 8
Hva er Norges hovedstad?; Oslo; Bergen; Trondheim
Hvor ligger Geirangerfjorden?; Møre og Romsdal; Vestland; Trøndelag
Hva er en kjent stavkirke i Norge?; Urnes stavkirke; Nidarosdomen; Akershus festning
Hvor kan man finne Preikestolen?; Rogaland; Vestland; Trøndelag
Hva er en kjent turistattraksjon i Oslo?; Viking Ship Museum; Nobel Peace Center; Vigelandsparken
Hvor ligger Lofoten?; Nordland; Troms og Finnmark; Vestland
Hva er en kjent fjelltopp i Norge?; Galdhøpiggen; Gaustatoppen; Preikestolen
Hvor kan man finne Bryggen?; Bergen; Stavanger; Trondheim
Hva er en kjent nasjonalpark i Norge?; Jotunheimen; Hardangervidda; Dovrefjell
Hvor ligger Nordkapp?; Finnmark; Nordland; Troms
Hva er en kjent turistattraksjon i Bergen?; Fløibanen; Bryggen; Akvariet
Hvor kan man finne Trolltunga?; Vestland; Rogaland; Møre og Romsdal
Hva er en kjent elv i Norge?; Sognefjorden; Hardangerfjorden; Geirangerfjorden
Hvor ligger Ålesund?; Møre og Romsdal; Vestland; Trøndelag
Hva er en kjent turistattraksjon i Trondheim?; Nidarosdomen; Ringve Museum; Sverresborg
Hvor kan man finne Besseggen?; Jotunheimen; Hardangervidda; Dovrefjell
Hva er en kjent fjord i Norge?; Sognefjorden; Hardangerfjorden; Geirangerfjorden
Hvor ligger Stavanger?; Rogaland; Vestland; Møre og Romsdal
Hva er en kjent turistattraksjon i Lofoten?; Reine; Svolvær; Henningsvær
Hvor kan man finne Kjeragbolten?; Rogaland; Vestland; Møre og Romsdal
Hva er en kjent nasjonalpark i Nord-Norge?; Øvre Dividal; Rago; Varangerhalvøya
Hvor ligger Tromsø?; Troms og Finnmark; Nordland; Trøndelag
Hva er en kjent turistattraksjon i Ålesund?; Atlanterhavsparken; Fjellstua; Jugendstilsenteret
Hvor kan man finne Vøringsfossen?; Vestland; Rogaland; Møre og Romsdal
Hva er en kjent fjellovergang i Norge?; Sognefjellet; Hardangervidda; Dovrefjell
Hvor ligger Hammerfest?; Finnmark; Troms og Finnmark; Nordland
Hva er en kjent turistattraksjon i Stavanger?; Gamle Stavanger; Oljemuseet; Preikestolen
Hvor kan man finne Jostedalsbreen?; Vestland; Rogaland; Møre og Romsdal
Hva er en kjent elv i Norge?; Glomma; Pasvik; Alta
Hvor ligger Røros?; Trøndelag; Innlandet; Vestland
Hva er en kjent turistattraksjon i Lillehammer?; Maihaugen; Hunderfossen; Lillehammer Kunstmuseum
Hvor kan man finne Saltstraumen?; Nordland; Troms og Finnmark; Finnmark
Hva er en kjent fjellkjede i Norge?; Jotunheimen; Rondane; Dovrefjell
Hvor ligger Kristiansand?; Agder; Rogaland; Vestland
Hva er en kjent turistattraksjon i Bodø?; Saltstraumen; Bodødomen; Nordlandsbadet
Hvor kan man finne Lysefjorden?; Rogaland; Vestland; Møre og Romsdal
Hva er en kjent øy i Norge?; Lofoten; Vesterålen; Senja
Hvor ligger Molde?; Møre og Romsdal; Vestland; Trøndelag
Hva er en kjent turistattraksjon i Narvik?; Narvikfjellet; Polarmuseet; Ofotbanen
Hvor kan man finne Femundsmarka?; Innlandet; Trøndelag; Vestland
Hva er en kjent fjord i Vestland?; Sognefjorden; Hardangerfjorden; Lysefjorden
Hvor ligger Alta?; Finnmark; Troms og Finnmark; Nordland
Hva er en kjent turistattraksjon i Fredrikstad?; Gamlebyen; Isegran; Fredrikstad Festning
Hvor kan man finne Folgefonna?; Vestland; Rogaland; Møre og Romsdal
Hva er en kjent elv i Trøndelag?; Nidelva; Gaula; Orkla
Hvor ligger Mo i Rana?; Nordland; Troms og Finnmark; Finnmark
Hva er en kjent turistattraksjon i Røros?; Røros Kobberverk; Bergstadens Ziir; Rørosmuseet
Hvor kan man finne Svartisen?; Nordland; Troms og Finnmark; Finnmark
Hva er en kjent fjelltopp i Jotunheimen?; Galdhøpiggen; Glittertind; Store Skagastølstind
Hvor ligger Sandefjord?; Vestfold; Telemark; Agder
